Economy,Economy_Code,Year,Adult_Population_15+,Region,Country_Income_group,gap_of_Account,gap of Bank or similar financial institution account (%),gap_of_Debit,gap_of_Credit,LFPR_Gap,Women_Marriage_Rate,Enroll_Female_Secondary,logGDP,WBL_Index
Armenia,ARM,2021,2364189,Europe & Central Asia (excluding high income),Upper middle income,0.071925784,0.070887775,0.08391063,,10.844,61.99,89.59611596,23.35363616,85
Armenia,ARM,2024,2406318,Europe & Central Asia (excluding high income),Upper middle income,0.075789446,0.067021551,0.078709262,,11.566,,90.13469547,23.97312027,90.625
Australia,AUS,2011,17830548,High income,High income,0.010024104,0.010024104,0.029079462,-0.061675146,13.323,54.23,,27.96749335,83.75
Australia,AUS,2014,18749193,High income,High income,-0.003656528,-0.003656528,-0.042427987,-0.005434271,12.334,53.95,,28.01628352,93.75
Australia,AUS,2017,19621820,High income,High income,0.006594448,0.006594448,-0.018777847,0.023959165,10.914,53.79,144.5345306,27.91620006,96.875
Australia,AUS,2021,20888823,High income,High income,-0.014066289,-0.014066289,-0.020571085,-0.059016627,9.535,53.98,133.3471832,28.07570694,96.875
Australia,AUS,2024,21852264,High income,High income,0.0057833,0.0057833,0.019134627,,8.856,,,28.1906369,96.875
Austria,AUT,2011,7123870,High income,High income,0.011733457,0.011733457,0.021904986,0.071401765,12.358,56.4,97.58538818,26.78472276,91.25
Austria,AUT,2014,7260944,High income,High income,-0.01316272,-0.01316272,-0.079919224,0.066005286,11.158,56.8,99.41703796,26.80776525,91.25
Austria,AUT,2017,7481549,High income,High income,-0.004408052,-0.004408052,0.033811911,0.023910246,10.892,57.4,98.83361816,26.75154436,94.375
Austria,AUT,2021,7633446,High income,High income,-0.001013292,-0.001013292,0.003282868,0.039005015,10.815,58.26,101.0847092,26.89705194,96.875
Austria,AUT,2024,7825678,High income,High income,0.006505633,0.006505633,0.010670054,,10.264,,,26.98093342,96.875
Azerbaijan,AZE,2011,7034188,Europe & Central Asia (excluding high income),Upper middle income,0.013570089,0.013570089,0.014459305,,3.756,58.42,,24.91220512,76.25
Azerbaijan,AZE,2014,7283305,Europe & Central Asia (excluding high income),Upper middle income,0.067165662,0.067165662,0.024709576,,5.377,59.57,,25.04394599,78.75
Azerbaijan,AZE,2017,7438923,Europe & Central Asia (excluding high income),Upper middle income,0.017164651,0.017164651,0.003109319,,5.972,60.09,,24.43357961,78.75
Azerbaijan,AZE,2021,7732344,Europe & Central Asia (excluding high income),Upper middle income,0.157433962,0.157433962,0.116098449,,5.2,59.66,90.48780299,24.72741964,78.75
Azerbaijan,AZE,2024,7885113,Europe & Central Asia (excluding high income),Upper middle income,0.208311181,0.208311181,0.201305045,0.084932253,5.36,,89.60752234,25.03159053,85
Bahrain,BHR,2011,978145,High income,High income,0.301977823,0.301977823,0.312852826,0.211306392,43.903,57.28,94.53557034,24.1216152,31.875
Bahrain,BHR,2014,1005566,High income,High income,0.235045703,0.235045703,0.270552414,0.157839631,43.48,57.53,104.9441327,24.27209345,35
Bahrain,BHR,2017,1137724,High income,High income,0.109069599,0.109069599,0.143895149,0.134423946,43.675,57.45,101.6638189,24.33970399,37.5
Bahrain,BHR,2024,1277545,High income,High income,-0.010596459,-0.010596459,-0.031823153,,42.987,,97.57344721,24.58896638,68.125
Bangladesh,BGD,2011,100376575,South Asia (excluding high income),Lower middle income,0.112799491,0.112799491,,,47.064,79.06,52.97284697,25.58307824,46.875
Bangladesh,BGD,2014,105778630,South Asia (excluding high income),Lower middle income,0.089159664,0.077074139,,,47.752,79.46,,25.87655743,49.375
Bangladesh,BGD,2017,111658076,South Asia (excluding high income),Lower middle income,0.287498096,0.183288111,,,44.731,79.72,66.82060803,26.4068456,49.375
Bangladesh,BGD,2021,117641793,South Asia (excluding high income),Lower middle income,0.194057647,0.14758383,,,39.028,80.32,75.08964167,26.7539511,49.375
Bangladesh,BGD,2024,122837439,South Asia (excluding high income),Lower middle income,0.201650281,0.129454765,,,36.79,,70.47203098,26.83251342,49.375
Belarus,BLR,2011,8075665,Europe & Central Asia (excluding high income),Upper middle income,0.011712905,0.011712905,0.026639316,,12.002,62.06,107.1135958,24.84656032,73.125
Belarus,BLR,2014,7971997,Europe & Central Asia (excluding high income),Upper middle income,0.000551834,0.000551834,0.049500545,0.067805678,12.248,62.7,102.5516718,25.09034467,73.125
Belarus,BLR,2017,7909969,Europe & Central Asia (excluding high income),Upper middle income,-0.004040004,-0.004040004,0.02653247,-0.054054364,12.928,62.66,101.5835427,24.72559389,75.625
Belgium,BEL,2011,9049843,High income,High income,-0.018884127,-0.018884127,0.017657211,0.175171415,12.717,56.94,170.0056458,26.99046639,100
Belgium,BEL,2014,9263588,High income,High income,-0.02815755,-0.02815755,-0.008349126,0.075884772,11.181,55.35,172.866333,27.0111244,100
Belgium,BEL,2017,9407055,High income,High income,-0.003682888,-0.003682888,-0.000956508,0.081282645,10.976,54.01,168.2164917,26.93987194,100
Belgium,BEL,2021,9600074,High income,High income,0.007229673,0.007229673,0.006189603,0.113904946,9.563,52.4,150.5850067,27.11852744,100
Belgium,BEL,2024,9867164,High income,High income,0.006483084,0.006483084,0.002978333,,9.155,,,27.22305288,100
Belize,BLZ,2014,228016,Latin America & Caribbean (excluding high income),Upper middle income,-0.081987428,-0.081987428,-0.031306735,0.020267771,32.209,58.12,82.73001179,21.48325357,79.375
Belize,BLZ,2024,300138,Latin America & Caribbean (excluding high income),Upper middle income,0.058831678,0.066235026,0.093811835,-0.002047274,25.548,,87.42329873,21.98052819,82.5
Benin,BEN,2011,5496491,Sub-Saharan Africa (excluding high income),Lower middle income,0.013432129,0.013432129,,,4.669,68.46,35.18872833,23.09288521,71.875
Benin,BEN,2014,6043333,Sub-Saharan Africa (excluding high income),Lower middle income,0.061633198,0.063380426,,,3.453,67.76,43.03720856,23.30986588,74.375
Benin,BEN,2017,6631280,Sub-Saharan Africa (excluding high income),Lower middle income,0.200373195,0.181567177,0.066004,,2.294,67.11,,23.2649982,74.375
Benin,BEN,2021,7495327,Sub-Saharan Africa (excluding high income),Lower middle income,0.183872225,0.131149774,,,2.407,66.04,40.25465012,23.596131,77.5
Benin,BEN,2024,8207504,Sub-Saharan Africa (excluding high income),Lower middle income,0.059604405,-3.03E-05,,,2.726,,,23.79051118,83.75
Bhutan,BTN,2014,523289,South Asia (excluding high income),Lower middle income,0.113121395,0.113121395,0.035438711,,15.921,62.02,92.2578125,21.45998941,75
Bolivia,BOL,2011,6675907,Latin America & Caribbean (excluding high income),Lower middle income,0.060178185,0.060178185,0.035562098,,21.286,,85.44636135,23.89978368,68.125
Bolivia,BOL,2014,7120716,Latin America & Caribbean (excluding high income),Lower middle income,0.07717228,0.063574902,0.078603982,,21.009,,89.13040816,24.21965788,76.875
Bolivia,BOL,2017,7571421,Latin America & Caribbean (excluding high income),Lower middle income,0.011315578,-0.002348958,0.038217784,,18.995,,88.51993363,24.3478372,88.75
Bolivia,BOL,2021,8150856,Latin America & Caribbean (excluding high income),Lower middle income,0.107510326,0.103061497,0.082206624,0.041863575,13.499,,90.19260695,24.42224689,88.75
Bolivia,BOL,2024,8553476,Latin America & Caribbean (excluding high income),Lower middle income,0.068662637,0.098287255,0.088193114,0.035932617,12.543,,,24.62863267,88.75
Bosnia and Herzegovina,BIH,2011,3217823,Europe & Central Asia (excluding high income),Upper middle income,0.195043783,0.195043783,0.20408555,0.070468009,23.553,65.28,89.17192078,23.64880274,81.875
Bosnia and Herzegovina,BIH,2014,3077307,Europe & Central Asia (excluding high income),Upper middle income,0.117635549,0.117635549,0.1070313,,23.531,65.27,92.19921112,23.64420633,81.875
Bosnia and Herzegovina,BIH,2017,2982772,Europe & Central Asia (excluding high income),Upper middle income,0.084345524,0.084345524,0.029889489,,23.023,65.24,85.61588287,23.63160703,88.125
Bosnia and Herzegovina,BIH,2021,2851847,Europe & Central Asia (excluding high income),Upper middle income,0.183463429,0.183463429,0.192338087,0.067152449,22.174,64.8,87.8970108,23.88758884,85
Bosnia and Herzegovina,BIH,2024,2764009,Europe & Central Asia (excluding high income),Upper middle income,0.03514955,0.03514955,0.122539678,0.014623522,20.921,,,24.06765983,85
Botswana,BWA,2011,1340324,Sub-Saharan Africa (excluding high income),Upper middle income,0.03799191,0.03799191,0.043754804,0.011555949,13.119,41.12,,23.43866521,63.75
Botswana,BWA,2014,1405268,Sub-Saharan Africa (excluding high income),Upper middle income,0.06497379,0.067898579,0.044327796,,12.265,41.59,,23.46217422,63.75
Botswana,BWA,2017,1470809,Sub-Saharan Africa (excluding high income),Upper middle income,0.094217306,0.083343676,0.132289055,,11.451,41.5,,23.5024053,63.75
Botswana,BWA,2021,1588124,Sub-Saharan Africa (excluding high income),Upper middle income,0.104290827,0.10865673,0.070766283,,10.155,41.7,74.06524658,23.65446931,63.75
Botswana,BWA,2024,1679590,Sub-Saharan Africa (excluding high income),Upper middle income,0.038635933,0.032554141,0.059401472,,9.63,,,23.68857884,63.75
Brazil,BRA,2011,145842533,Latin America & Caribbean (excluding high income),Upper middle income,0.100798884,0.100798884,0.107526051,0.049893129,23.176,58.97,,28.59419543,81.875
Brazil,BRA,2014,152293155,Latin America & Caribbean (excluding high income),Upper middle income,0.069151125,0.069151125,0.114004533,0.117959518,23.144,58.12,106.1211929,28.53118247,81.875
Brazil,BRA,2017,158478074,Latin America & Caribbean (excluding high income),Upper middle income,0.053328949,0.053328949,0.10401998,0.106870122,20.807,57.34,104.6052704,28.3537271,81.875
Brazil,BRA,2021,165349748,Latin America & Caribbean (excluding high income),Upper middle income,0.061806122,0.059042065,0.113040566,0.138282162,20.432,56.38,110.2274399,28.14384474,85
Brazil,BRA,2024,169047814,Latin America & Caribbean (excluding high income),Upper middle income,0.085771951,0.091820762,0.097271414,0.137869987,19.843,,,28.41034599,85
Bulgaria,BGR,2011,6400381,Europe & Central Asia (excluding high income),Upper middle income,-0.055536385,-0.055536385,-0.049505271,0.05887242,11.095,60.9,94.1002121,24.77819875,93.75
Bulgaria,BGR,2014,6271977,Europe & Central Asia (excluding high income),Upper middle income,-0.003644904,-0.003644904,-0.018862965,0.049207073,11.574,60.28,102.4883423,24.76773534,90.625
Bulgaria,BGR,2017,6128150,Europe & Central Asia (excluding high income),Upper middle income,-0.030173243,-0.030173243,-0.005317913,0.03285241,12.063,59.53,101.6153717,24.80364073,90.625
Bulgaria,BGR,2021,5933315,Europe & Central Asia (excluding high income),Upper middle income,-0.007352564,-0.007352564,-0.060812469,0.020321884,13.078,57.85,97.46845245,25.15900056,90.625
Bulgaria,BGR,2024,5509377,Europe & Central Asia (excluding high income),Upper middle income,-0.006734904,-0.006734904,0.010231838,0.014454718,12.063,,,25.44176471,90.625
Burkina Faso,BFA,2011,8802362,Sub-Saharan Africa (excluding high income),Low income,0.048817128,0.048817128,,,20.12,76.88,20.15049376,23.21484153,76.875
Burkina Faso,BFA,2014,9623020,Sub-Saharan Africa (excluding high income),Low income,0.034316191,0.033592617,,,16.294,76.2,27.37725094,23.35824458,76.875
Burkina Faso,BFA,2017,10570484,Sub-Saharan Africa (excluding high income),Low income,0.16782018,0.061196936,0.082722991,,14.852,75.47,36.43375128,23.36993382,76.875
Burkina Faso,BFA,2021,12018028,Sub-Saharan Africa (excluding high income),Low income,0.11669921,0.086878592,,,12.898,74.3,40.13346431,23.70375839,82.5
Burkina Faso,BFA,2024,13262560,Sub-Saharan Africa (excluding high income),Low income,0.157963293,0.058038742,,,12.469,,33.23891825,23.86958021,82.5
Burundi,BDI,2014,5630929,Sub-Saharan Africa (excluding high income),Low income,,,,,-3.101,58.42,37.6532237,21.71865729,73.125
Cambodia,KHM,2014,10284331,East Asia & Pacific (excluding high income),Lower middle income,0.03791407,0.042605794,,,12.355,63.51,,23.81619124,75
Cambodia,KHM,2017,10807431,East Asia & Pacific (excluding high income),Lower middle income,0.003190634,0.012386433,,,10.432,65.61,51.20547473,24.10275141,75
Cambodia,KHM,2021,11527565,East Asia & Pacific (excluding high income),Lower middle income,0.018877042,0.02820677,0.07985428,,12.087,66.99,59.18885209,24.32849636,75
Cambodia,KHM,2024,12177453,East Asia & Pacific (excluding high income),Lower middle income,0.04781687,0.036993343,0.010061219,,12.501,,63.09866735,24.55954424,81.25
Cameroon,CMR,2011,11072780,Sub-Saharan Africa (excluding high income),Lower middle income,0.079301184,0.079301184,,,11.337,62.97,45.50051558,24.14527548,50.625
Cameroon,CMR,2014,12084831,Sub-Saharan Africa (excluding high income),Lower middle income,0.040006987,0.049407988,,,10.281,61,54.14093126,24.31746489,50.625
Cameroon,CMR,2017,13358414,Sub-Saharan Africa (excluding high income),Lower middle income,0.092140847,0.084117637,0.051632256,,13.146,58.9,,24.30951845,50.625
Cameroon,CMR,2021,15059599,Sub-Saharan Africa (excluding high income),Lower middle income,0.048924664,0.066053463,,,16.618,55.73,42.61158841,24.53019357,60
Cameroon,CMR,2024,16524096,Sub-Saharan Africa (excluding high income),Lower middle income,0.164556644,0.091888124,,,17.551,,,24.66147818,60
Canada,CAN,2011,28373521,High income,High income,-0.029579394,-0.029579394,-0.064042716,-0.060282038,10.061,53.1,102.0876007,28.21323674,97.5
Canada,CAN,2014,29372810,High income,High income,-0.001932762,-0.001932762,-0.016025297,0.028950874,9.773,52.68,112.1737366,28.22434796,97.5
Canada,CAN,2017,30253020,High income,High income,-0.002604967,-0.002604967,-0.011673515,-0.022024499,9.565,52.16,112.2056503,28.1317964,97.5
Canada,CAN,2021,31991096,High income,High income,0.002622357,0.002622357,-0.001946545,-0.013538968,9.228,51.6,109.4836197,28.33411863,100
Canada,CAN,2024,33960981,High income,High income,-0.006946294,-0.006946294,-0.011434081,,8.527,,,28.43749698,100
Central African Republic,CAF,2017,2404000,Sub-Saharan Africa (excluding high income),Low income,0.083648839,0.083648839,,,16.838,65.52,12.79310036,21.45194905,77.5
Chad,TCD,2014,7035329,Sub-Saharan Africa (excluding high income),Low income,0.09631767,,,,22.101,74.02,14.28285027,23.62162433,57.5
Chad,TCD,2017,7782131,Sub-Saharan Africa (excluding high income),Low income,0.141805306,,,,22.867,73.19,14.012363,23.31471041,57.5
Chad,TCD,2021,8962706,Sub-Saharan Africa (excluding high income),Low income,0.022977837,0.021794822,,,22.526,71.85,17.26723294,23.54891759,66.25
Chad,TCD,2024,10289880,Sub-Saharan Africa (excluding high income),Low income,0.015536106,0.024361167,,,23.805,,19.43901071,23.74980427,66.25
Chile,CHL,2011,13480066,High income,High income,0.024675611,0.024675611,0.068454492,0.018431873,25.855,44.85,92.40019226,26.24871878,75
Chile,CHL,2014,14064832,High income,High income,0.086531454,0.087444875,0.076937507,0.004824878,23.83,45.59,100.3207169,26.28394747,77.5
Chile,CHL,2017,14675996,High income,High income,0.064800795,0.067724385,0.037863426,-0.019177285,22.678,46.49,102.5392227,26.3436667,77.5
Chile,CHL,2021,15803947,High income,High income,0.009481362,0.009481362,0.034116377,0.050485735,22.195,48.06,106.1259995,26.47583848,80
Chile,CHL,2024,16241277,High income,High income,0.039188956,0.039188956,0.02665159,,19.153,,,26.52235849,80
China,CHN,2011,1090576711,East Asia & Pacific (excluding high income),Upper middle income,0.07576121,0.07576121,0.052871429,,14.254,70.94,93.07789229,29.66833773,69.375
China,CHN,2014,1113693456,East Asia & Pacific (excluding high income),Upper middle income,0.050273398,0.050273398,0.033023932,0.029059047,13.555,71.01,,30.00126486,75.625
China,CHN,2017,1133758537,East Asia & Pacific (excluding high income),Upper middle income,0.077060144,0.077060144,0.070048642,0.044294804,12.739,70.83,,30.15674976,75.625
China,CHN,2021,1157739289,East Asia & Pacific (excluding high income),Upper middle income,0.025778919,0.025778919,0.022540657,-0.035623898,11.738,69.54,,30.53244271,75.625
China,CHN,2024,1176678702,East Asia & Pacific (excluding high income),Upper middle income,0.003529379,0.003529379,0.019907696,0.000231982,11.551,,,30.55954464,78.125
Colombia,COL,2011,32481705,Latin America & Caribbean (excluding high income),Upper middle income,0.1058119,0.1058119,0.088104262,0.061280443,25.692,51.25,105.4418335,26.53739637,73.125
Colombia,COL,2014,34309704,Latin America & Caribbean (excluding high income),Upper middle income,0.10468179,0.098961535,0.122138404,0.066130396,24.511,51.07,101.2459106,26.66606521,78.75
Colombia,COL,2017,36092425,Latin America & Caribbean (excluding high income),Upper middle income,0.069725394,0.073895945,0.108085364,0.08151388,23.853,50.96,102.081871,26.46626902,78.75
Colombia,COL,2021,39661157,Latin America & Caribbean (excluding high income),Upper middle income,0.073081429,0.087980158,0.084506691,0.071721251,25.86,51.14,105.2272568,26.48845694,81.875
Colombia,COL,2024,41544122,Latin America & Caribbean (excluding high income),Upper middle income,0.126685081,0.182682082,0.160617751,,24.299,,,26.76113676,84.375
Comoros,COM,2011,382348,Sub-Saharan Africa (excluding high income),Lower middle income,0.078041921,0.078041921,,,22.115,61.5,,20.74609083,43.75
Comoros,COM,2021,495193,Sub-Saharan Africa (excluding high income),Lower middle income,0.110496588,0.067637857,,,18.143,63.05,,20.98489084,65
Comoros,COM,2024,532331,Sub-Saharan Africa (excluding high income),Lower middle income,0.077630292,0.067569732,0.005263927,,18.409,,,21.15904313,65
"Congo, Dem. Rep.",COD,2014,40959603,Sub-Saharan Africa (excluding high income),Low income,0.063461331,0.047434493,,,7.275,,31.43996048,24.30425494,42.5
"Congo, Dem. Rep.",COD,2017,45407203,Sub-Saharan Africa (excluding high income),Low income,0.031702732,0.011903288,,,7.109,,,24.36135884,48.75
"Congo, Dem. Rep.",COD,2021,51784116,Sub-Saharan Africa (excluding high income),Low income,0.136953751,,,,7,,42.95270157,24.73655367,78.75
"Congo, Dem. Rep.",COD,2024,57033055,Sub-Saharan Africa (excluding high income),Low income,0.111383031,0.039198049,,,6.219,,,24.98240927,78.75
"Congo, Rep.",COG,2011,2658255,Sub-Saharan Africa (excluding high income),Lower middle income,0.049558709,0.049558709,,,1.582,,,23.47408069,49.375
"Congo, Rep.",COG,2014,2849454,Sub-Saharan Africa (excluding high income),Lower middle income,0.041963241,0.049714427,0.036578753,,2.846,,,23.60914536,49.375
"Congo, Rep.",COG,2017,3026298,Sub-Saharan Africa (excluding high income),Lower middle income,0.102215845,0.08236783,0.032545336,,3.375,,,23.19428255,49.375
"Congo, Rep.",COG,2021,3350070,Sub-Saharan Africa (excluding high income),Lower middle income,0.068174799,0.032327759,,,2.788,,,23.41962734,49.375
"Congo, Rep.",COG,2024,3655093,Sub-Saharan Africa (excluding high income),Lower middle income,0.099669998,0.074012509,,,3.388,,,23.47819872,58.125
Costa Rica,CRI,2011,3423771,Latin America & Caribbean (excluding high income),Upper middle income,0.195410458,0.195410458,0.207587203,0.082188659,28.852,44.58,101.5167923,24.47893005,80
Costa Rica,CRI,2014,3611461,Latin America & Caribbean (excluding high income),Upper middle income,0.089838818,0.089838818,0.098973974,0.052094001,26.198,43.67,117.0446472,24.67482506,80
Costa Rica,CRI,2017,3790388,Latin America & Caribbean (excluding high income),Upper middle income,0.145822935,0.145822935,0.147854444,0.065191484,28.416,42.82,125.0539093,24.82617437,80
Costa Rica,CRI,2021,3990389,Latin America & Caribbean (excluding high income),Upper middle income,0.152537095,0.152537095,0.140456464,0.102747404,23.486,41.97,146.7925262,24.8970487,86.25
Costa Rica,CRI,2024,4118576,Latin America & Caribbean (excluding high income),Upper middle income,0.062378352,0.062378352,0.064385244,0.033186606,26.032,,,25.28082461,91.875
Cote d'Ivoire,CIV,2014,13848553,Sub-Saharan Africa (excluding high income),Lower middle income,0.100419069,0.061384755,,,13.183,,34.36256651,24.61187702,
Cote d'Ivoire,CIV,2017,14983416,Sub-Saharan Africa (excluding high income),Lower middle income,0.110321261,0.095325392,,,16.782,,43.93379016,24.6843141,
Cote d'Ivoire,CIV,2021,16718735,Sub-Saharan Africa (excluding high income),Lower middle income,0.265652801,0.134681784,,,16.096,,54.41098907,25.01090812,
Cote d'Ivoire,CIV,2024,18301587,Sub-Saharan Africa (excluding high income),Lower middle income,0.073851948,0.08832737,,,15.38,,64.47850402,25.18385424,
Croatia,HRV,2011,3638504,High income,High income,0.025384903,0.025384903,-0.046707278,0.0334081,15.309,56.99,101.1062775,24.86487142,93.75
Croatia,HRV,2014,3606895,High income,High income,-0.034454882,-0.034454882,0.033868589,0.033099244,12.582,54.7,103.976387,24.81112515,93.75
Croatia,HRV,2017,3508155,High income,High income,0.071411106,0.071411106,0.107681251,0.060506832,12.963,52.99,106.2827682,24.75193684,93.75
Croatia,HRV,2021,3348534,High income,High income,0.039672083,0.039672083,-0.00290229,0.093062246,13.083,50.13,108.8768997,24.95747092,93.75
Croatia,HRV,2024,3313982,High income,High income,0.012186257,0.012186257,0.031311277,0.025470178,10.61,,,25.25075743,93.75
Cyprus,CYP,2011,936237,High income,High income,0.04542434,0.04542434,0.030265174,0.063802404,12.524,52.27,93.532547,24.04258584,88.75
Cyprus,CYP,2014,991903,High income,High income,-0.002862492,-0.002862492,0.045004524,-0.024786051,11.304,52.7,99.45568848,23.86853466,88.75
Cyprus,CYP,2017,1039880,High income,High income,-0.026989695,-0.026989695,-0.016982406,0.039364685,10.851,53.35,99.53044891,23.85643433,88.75
Cyprus,CYP,2021,1094549,High income,High income,0.009207942,0.009207942,0.0304363,0.046434227,13.833,54.04,101.5674362,24.13680812,91.25
Cyprus,CYP,2024,1129055,High income,High income,-0.037647007,-0.037647007,0.004340607,,10.647,,,24.31599287,96.875
Czechia,CZE,2011,8965818,High income,High income,0.002894674,0.002894674,0.012371953,0.026011143,18.052,51.22,99.56680298,26.16568355,88.125
Czechia,CZE,2014,8944904,High income,High income,0.05791256,0.05791256,0.064495163,0.090394189,17.357,52.57,106.4524612,26.07512397,91.25
Czechia,CZE,2017,8934395,High income,High income,0.049921127,0.049921127,0.075347613,0.091539166,16.291,53.44,102.7512817,26.12594322,91.25
Czechia,CZE,2021,8985899,High income,High income,0.030398393,0.030398393,0.038780891,0.035675682,16.136,53.68,102.61866,26.3965891,93.75
Czechia,CZE,2024,9161251,High income,High income,0.053074146,0.053074146,0.046347164,,14.55,,,26.56681025,93.75
Denmark,DNK,2011,4549535,High income,High income,0.005021004,0.005021004,-0.036508421,0.123133194,9.056,58.91,122.8757324,26.56390749,97.5
Denmark,DNK,2014,4641892,High income,High income,0,0,-0.004069725,0.109835872,8.596,57.26,134.7441254,26.58973389,100
Denmark,DNK,2017,4767144,High income,High income,-0.001670341,-0.001670341,0.00626365,0.131365865,8.267,55.9,130.848114,26.52840081,100
Denmark,DNK,2021,4880509,High income,High income,0,0,0.001708071,0.085875689,9.101,54.9,131.3647614,26.73453301,100
Denmark,DNK,2024,5003352,High income,High income,0.010800569,0.010800569,0.002018439,,7.983,,,26.78472276,100
Djibouti,DJI,2011,591971,Middle East & North Africa (excluding high income),Lower middle income,0.078629219,0.078629219,,,32.199,46.69,,20.93768706,62.5
Dominican Republic,DOM,2011,6788648,Latin America & Caribbean (excluding high income),Upper middle income,0.018051582,0.018051582,0.012974598,-0.027566764,29.303,55.72,82.17548154,24.78281641,78.125
Dominican Republic,DOM,2014,7152325,Latin America & Caribbean (excluding high income),Upper middle income,-0.037576624,-0.036949391,0.025103437,-0.005965276,28.663,54.84,84.16164536,24.9281723,78.125
Dominican Republic,DOM,2017,7508555,Latin America & Caribbean (excluding high income),Upper middle income,0.042130336,0.028759408,0.079428092,0.044129534,27.057,53.87,83.26634151,25.09360285,83.75
Dominican Republic,DOM,2021,7960918,Latin America & Caribbean (excluding high income),Upper middle income,0.047348643,0.040486108,0.058918119,0.014787901,24.574,52.64,79.24218019,25.27557012,86.25
Dominican Republic,DOM,2024,8281568,Latin America & Caribbean (excluding high income),Upper middle income,0.068043652,0.059529297,0.120567729,0.122542944,23.592,,80.52453857,25.5435474,86.25
Ecuador,ECU,2011,10352753,Latin America & Caribbean (excluding high income),Upper middle income,0.073043571,0.073043571,0.09862484,0.049966769,29.747,48.1,97.65522003,25.09254466,84.375
